shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S001C,45.430323,12.351474,11,
S001C,45.429754,12.355,12,
S001C,45.428546,12.35526,13,
S001C,45.426076,12.358158,14,
S001C,45.425319,12.360789,15,
S001C,45.417347,12.367904,16,
S001B,45.43956,12.318332,1,
S001B,45.439086,12.318953,2,
S001B,45.438905,12.319876,3,
S001B,45.439237,12.320489,4,
S001B,45.440201,12.321226,5,
S001B,45.441149,12.322742,6,
S001B,45.441785,12.324444,7,
S001B,45.441815,12.325088,8,
S001B,45.442086,12.325452,9,
S001B,45.442406,12.32785,10,
S001B,45.442447,12.328822,11,
S001B,45.441725,12.33079,12,
S001B,45.440594,12.333953,13,
S001B,45.439366,12.335297,14,
S001B,45.439052,12.335967,15,
S001B,45.438435,12.336176,16,
S001B,45.437765,12.335612,17,
S001B,45.437024,12.334769,18,
S001B,45.436785,12.333175,19,
S001B,45.43559,12.330356,20,
S001B,45.435196,12.327907,21,
S001B,45.434626,12.327126,22,
S001B,45.433273,12.327119,23,
S001B,45.431618,12.328693,24,
S001B,45.431256,12.331101,25,
S001B,45.431447,12.332641,26,
S001B,45.431153,12.334372,27,
S001B,45.432171,12.337502,28,
S001B,45.433352,12.342013,29,
S001B,45.432762,12.348558,30,
S001B,45.430323,12.351474,31,
S001B,45.429754,12.355,32,
S001B,45.428546,12.35526,33,
S001B,45.426076,12.358158,34,
S001B,45.425319,12.360789,35,
S001B,45.417347,12.367904,36,
