trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R01WSL001,4:16:00,4:16:00,21D,1,,
R01WSL001,4:21:00,4:21:00,20A,2,,
R01WSL001,4:25:00,4:25:00,19A,3,,
R01WSL001,4:28:00,4:28:00,18A,4,,
R01WSL001,4:31:00,4:31:00,17E,5,,
R01WSL001,4:35:00,4:35:00,16A,6,,
R01WSL001,4:38:00,4:38:00,15A,7,,
R01WSL001,4:40:00,4:40:00,14A,8,,
R01WSL001,4:43:00,4:43:00,13A,9,,
R01WSL001,4:45:00,4:45:00,12A,10,,
R01WSL001,4:48:00,4:48:00,11A,11,,
R01WSL001,4:50:00,4:50:00,10A,12,,
R01WSL001,4:52:00,4:52:00,09A,13,,
R01WSL001,4:55:00,4:55:00,08A,14,,
R01WSL001,4:58:00,4:58:00,07A,15,,
R01WSL001,5:01:00,5:01:00,06A,16,,
R01WSL001,5:04:00,5:04:00,05A,17,,
R01WSL001,5:06:00,5:06:00,04A,18,,
R01WSL001,5:08:00,5:08:00,03A,19,,
R01WSL001,5:11:00,5:11:00,02D,20,,
R01WSL001,5:14:00,5:14:00,01C,21,,
R01WSL002,6:08:00,6:08:00,21D,1,,
R01WSL002,6:13:00,6:13:00,20A,2,,
R01WSL002,6:17:00,6:17:00,19A,3,,
R01WSL002,6:20:00,6:20:00,18A,4,,
R01WSL002,6:24:00,6:24:00,17E,5,,
R01WSL002,6:29:00,6:29:00,16A,6,,
R01WSL002,6:32:00,6:32:00,15A,7,,
R01WSL002,6:34:00,6:34:00,14A,8,,
R01WSL002,6:37:00,6:37:00,13A,9,,
R01WSL002,6:39:00,6:39:00,12A,10,,
R01WSL002,6:43:00,6:43:00,11A,11,,
R01WSL002,6:45:00,6:45:00,10A,12,,
R01WSL002,6:47:00,6:47:00,09A,13,,
R01WSL002,6:51:00,6:51:00,08A,14,,
R01WSL002,6:55:00,6:55:00,07A,15,,
R01WSL002,6:58:00,6:58:00,06A,16,,
R01WSL002,7:01:00,7:01:00,05A,17,,
R01WSL002,7:04:00,7:04:00,04A,18,,
R01WSL002,7:07:00,7:07:00,03A,19,,
R01WSL002,7:10:00,7:10:00,02D,20,,
R01WSL002,7:13:00,7:13:00,01C,21,,
R01WSL003,19:56:00,19:56:00,21D,1,,
R01WSL003,20:01:00,20:01:00,20A,2,,
R01WSL003,20:05:00,20:05:00,19A,3,,
R01WSL003,20:08:00,20:08:00,18A,4,,
R01WSL003,20:12:00,20:12:00,17E,5,,
R01WSL003,20:17:00,20:17:00,16A,6,,
R01WSL003,20:20:00,20:20:00,15A,7,,
R01WSL003,20:22:00,20:22:00,14A,8,,
R01WSL003,20:25:00,20:25:00,13A,9,,
R01WSL003,20:27:00,20:27:00,12A,10,,
R01WSL003,20:31:00,20:31:00,11A,11,,
R01WSL003,20:33:00,20:33:00,10A,12,,
R01WSL003,20:35:00,20:35:00,09A,13,,
R01WSL003,20:39:00,20:39:00,08B,14,,
R01WSL003,20:43:00,20:43:00,07A,15,,
R01WSL003,20:46:00,20:46:00,06A,16,,
R01WSL003,20:49:00,20:49:00,05A,17,,
R01WSL003,20:52:00,20:52:00,04A,18,,
